YEAR,RGDP  (?' Billion),DOD (?' Billion),EXD  (?' Billion),TPD  (?' Billion),PDOR  (?' Billion),PDNR (?' Billion),GFCF (?' Billion),INF(%),INR(%),EXR(Official/AFEM/DAS),Oil-Revenue  (?' Billion),Non-Oil Revenue  (?' Billion)
2000,25430.42,898.25,3097.38,3995.63,2.51,12.71,331.06,6.93,12.06,101.77,1591.68,314.48
2001,26935.32,1016.97,3176.29,4193.26,2.46,8.00,372.14,18.87,16.30,111.49,1707.56,524.10
2002,31064.27,1166.00,3932.88,5098.88,4.14,10.18,499.68,12.88,16.50,120.65,1230.85,500.99
2003,33346.62,1329.68,4478.33,5808.01,2.80,11.60,865.88,14.03,13.04,129.22,2074.28,500.82
2004,36431.37,1370.33,4890.27,6260.60,1.87,11.07,863.07,15.00,13.32,133.00,3354.80,565.70
2005,38777.01,1525.91,2695.07,4220.98,0.89,5.38,804.40,17.86,10.82,131.10,4762.40,785.10
2006,41126.68,1753.26,451.46,2204.72,0.42,3.25,1546.53,8.23,8.35,128.14,5287.57,677.54
2007,43837.39,2169.64,438.89,2608.53,0.58,2.06,1936.96,5.39,8.10,125.07,4462.91,1264.60
2008,46802.76,2320.31,523.25,2843.56,0.44,2.13,2053.01,11.58,11.78,117.78,6530.60,1336.00
2009,50564.26,3228.03,590.44,3818.47,1.20,2.31,3050.58,12.54,12.85,147.27,3191.94,1652.65
2010,55469.35,4551.82,689.84,5241.66,0.97,2.75,9183.06,13.74,5.67,148.31,5396.09,1907.58
2011,58180.35,5622.84,896.85,6519.69,0.73,2.91,9897.20,10.83,4.71,151.83,8878.97,2237.88
2012,60670.05,6537.54,1026.90,7564.44,0.94,2.88,10281.95,12.22,7.18,155.45,8025.97,2628.78
2013,63942.85,7118.98,1387.33,8506.31,1.25,2.88,11478.08,8.50,13.00,155.25,6809.23,2950.56
2014,67977.46,7904.03,1631.50,9535.53,1.40,2.91,13595.84,8.05,11.00,156.48,6793.82,3275.03
2015,69780.69,8837.00,2111.51,10948.51,2.86,3.55,14112.17,9.01,14.00,191.80,3830.10,3082.41
2016,68652.43,11058.20,3478.92,14537.12,5.40,4.97,15104.18,15.70,14.00,253.09,2693.90,2922.50
2017,69205.69,12589.49,5787.51,18377.00,4.47,5.51,16908.13,16.50,14.00,305.29,4109.69,3335.14
2018,70536.35,12774.41,7759.23,20533.64,3.70,5.14,17827.12,12.10,13.50,305.58,5545.62,3998.70
2019,72094.09,14272.64,9022.42,23295.06,4.57,4.93,18917.23,11.40,13.50,306.42,5094.19,4725.66
2020,70800.54,16023.89,12705.62,28729.51,7.20,6.28,20726.94,13.25,11.50,358.31,3991.59,4577.63
2021,73382.77,19242.56,15855.23,35097.79,8.53,5.64,22739.43,16.95,11.50,401.98,4116.39,6226.59
2022,75768.95,22210.36,18702.25,40912.61,8.81,5.15,24832.76,18.85,16.50,425.41,4641.97,7944.56
